130091	0.815533980582524	0.930232558139535	0.962962962962963	0.785714285714286	0.73015873015873	0.838235294117647	0.878787878787879	0.8	0.94	0.653846153846154	0.67741935483871	0.724137931034483	0.5	1	0.944444444444444	0.714285714285714	0.333333333333333	0.571428571428571	0.48	0.705882352941177	0.857142857142857	0.75	0.6	0.5	0.0714285714285714	0.129032258064516	0.405405405405405	-1	-1	1	0	0	0	0
130092	0.145631067961165	0.372093023255814	0.333333333333333	0.321428571428571	0.222222222222222	0.382352941176471	0.242424242424242	0.48	0.18	0.192307692307692	0.387096774193548	0.275862068965517	0.227272727272727	0.833333333333333	0.388888888888889	0.571428571428571	0	0.0952380952380952	0.2	0.0588235294117647	0.285714285714286	0.0833333333333333	0.2	0	0.142857142857143	0	0	1	1	1	0	0	0	0
130093	0.398058252427184	0.767441860465116	0.777777777777778	0.571428571428571	0.507936507936508	0.632352941176471	0.424242424242424	1	0.54	0.461538461538462	0.612903225806452	0.758620689655172	0.363636363636364	0.75	0.777777777777778	0.642857142857143	0	0.285714285714286	0.28	0.352941176470588	0.142857142857143	0.75	0.4	0.3	0.0714285714285714	0	0.189189189189189	-1	1	1	-6	36	6	-36
130094	0.233009708737864	0.348837209302326	0.555555555555556	0.25	0.285714285714286	0.25	0.121212121212121	0.6	0.2	0.192307692307692	0.387096774193548	0.310344827586207	0.227272727272727	0.833333333333333	0.666666666666667	0.214285714285714	0	0.0476190476190476	0.16	0.176470588235294	0.285714285714286	0	0.2	0	0	0	0	-1	1	1	-6	36	6	-36
130095	0.0679611650485437	0.13953488372093	0.333333333333333	0.178571428571429	0.0952380952380952	0.117647058823529	0.0303030303030303	0.32	0.04	0.115384615384615	0.129032258064516	0.206896551724138	0.0454545454545455	0.666666666666667	0.111111111111111	0.0714285714285714	0	0.0476190476190476	0	0.0588235294117647	0	0	0	0	0	0	0	-1	1	-1	-6	36	6	-36
130096	0.563106796116505	0.558139534883721	0.888888888888889	0.678571428571429	0.619047619047619	0.705882352941177	0.666666666666667	0.8	0.58	0.538461538461538	0.580645161290323	0.379310344827586	0.454545454545455	0.75	0.777777777777778	0.571428571428571	0.166666666666667	0.285714285714286	0.24	0.235294117647059	0.142857142857143	0.75	0.4	0.25	0.214285714285714	0	0.108108108108108	-1	1	-1	1	1	-1	-1
130097	0.83495145631068	0.86046511627907	0.962962962962963	0.642857142857143	0.698412698412698	0.691176470588235	0.606060606060606	0.84	0.68	0.538461538461538	0.806451612903226	0.793103448275862	0.590909090909091	0.916666666666667	0.666666666666667	0.857142857142857	0	0.285714285714286	0.56	0.647058823529412	0.571428571428571	0.5	0.4	0.4	0.285714285714286	0.161290322580645	0.513513513513514	1	-1	1	2	4	2	4
130098	0.776699029126214	0.72093023255814	0.851851851851852	0.75	0.603174603174603	0.882352941176471	0.757575757575758	0.88	0.94	0.5	0.774193548387097	0.551724137931035	0.5	0.666666666666667	0.722222222222222	0.785714285714286	0.5	0	0.48	0.588235294117647	0.714285714285714	0.166666666666667	0.6	0.5	0	0	0.621621621621622	-1	1	1	0	0	0	0
130099	0.961165048543689	1	1	1	0.888888888888889	0.970588235294118	1	1	1	0.884615384615385	0.935483870967742	0.896551724137931	0.863636363636364	1	0.888888888888889	0.928571428571429	0.666666666666667	0.952380952380952	0.84	0.882352941176471	1	0.833333333333333	0.4	0.9	0.642857142857143	0.032258064516129	1	-1	1	-1	1	1	-1	-1
130100	0	0	0.037037037037037	0.0357142857142857	0.0158730158730159	0.0294117647058824	0	0.12	0.02	0	0	0.103448275862069	0	0.25	0.166666666666667	0.0714285714285714	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-6	36	-6	36
130101	0.0776699029126214	0.441860465116279	0.555555555555556	0.107142857142857	0.0952380952380952	0.25	0.0909090909090909	0.24	0.16	0.153846153846154	0.129032258064516	0.241379310344828	0.181818181818182	0.833333333333333	0.555555555555556	0.428571428571429	0	0	0.04	0	0	0	0.2	0	0	0	0	1	-1	1	-6	36	-6	36
130102	0.155339805825243	0.372093023255814	0.481481481481482	0.321428571428571	0.142857142857143	0.573529411764706	0.212121212121212	0.64	0.42	0.230769230769231	0.258064516129032	0.206896551724138	0.0454545454545455	0.916666666666667	0.5	0.5	0	0.0476190476190476	0.28	0.117647058823529	0.142857142857143	0.0833333333333333	0.4	0	0	0	0.108108108108108	-1	-1	-1	-6	36	6	-36
130103	0.679611650485437	0.744186046511628	0	0	0.666666666666667	0	0	0.92	0	0.384615384615385	0	0.620689655172414	0.681818181818182	1	0	0	0.166666666666667	0.285714285714286	0.24	0.352941176470588	0	0.416666666666667	0.4	0.45	0.142857142857143	0.129032258064516	0.567567567567568	-1	-1	1	0	0	0	0
130104	0.621359223300971	0.813953488372093	0.925925925925926	0.821428571428571	0.53968253968254	0.823529411764706	0.818181818181818	0.84	0.8	0.769230769230769	0.967741935483871	0.724137931034483	0.681818181818182	0.75	1	0.857142857142857	1	0.571428571428571	0.56	0.705882352941177	0.571428571428571	0.416666666666667	0.6	0.7	0.0714285714285714	0.129032258064516	0.837837837837838	1	-1	1	0	0	0	0
130105	0.0776699029126214	0.255813953488372	0.296296296296296	0.214285714285714	0.0476190476190476	0.294117647058824	0.242424242424242	0.44	0.18	0.115384615384615	0.032258064516129	0.241379310344828	0.181818181818182	0.666666666666667	0.277777777777778	0.285714285714286	0	0	0.08	0.0588235294117647	0	0.0833333333333333	0.2	0	0	0	0.0540540540540541	-1	-1	1	-7	49	7	-49
130106	0.029126213592233	0.186046511627907	0.111111111111111	0.0714285714285714	0.0634920634920635	0.161764705882353	0.0909090909090909	0.24	0.1	0.230769230769231	0.0967741935483871	0.241379310344828	0.136363636363636	0.583333333333333	0.277777777777778	0.285714285714286	0	0.0476190476190476	0.16	0.176470588235294	0.142857142857143	0	0.2	0.05	0	0	0	1	1	-1	-7	49	-7	49
130107	0.106796116504854	0.581395348837209	0.592592592592593	0.392857142857143	0.0476190476190476	0.367647058823529	0.242424242424242	0.32	0.46	0.153846153846154	0.225806451612903	0.206896551724138	0.136363636363636	0.916666666666667	0.5	0.5	0	0	0.12	0	0	0	0.4	0.05	0	0	0	1	-1	-1	-6	36	-6	36
130108	0	0.0930232558139535	0.037037037037037	0	0.0634920634920635	0.0294117647058824	0	0.36	0	0	0	0.241379310344828	0	0.75	0.0555555555555556	0	0	0	0.12	0	0	0	0	0	0	0	0	-1	-1	-1	-7	49	7	-49
130109	0	0.0697674418604651	0	0	0	0	0	0.12	0	0.0384615384615385	0	0.0344827586206897	0	0.416666666666667	0	0	0	0	0	0.0588235294117647	0	0	0	0	0	0	0	-1	-1	1	-6	36	6	-36
130110	0.951456310679612	0.72093023255814	0.814814814814815	0.857142857142857	0.746031746031746	0.808823529411765	0.96969696969697	0.96	0.84	0.653846153846154	0.870967741935484	0.689655172413793	0.681818181818182	0.916666666666667	0.944444444444444	0.785714285714286	0.333333333333333	0.571428571428571	0.6	0.647058823529412	0.714285714285714	0.583333333333333	0.4	0.9	0.142857142857143	0.354838709677419	0.891891891891892	-1	-1	1	-1	1	1	-1
130111	0.932038834951456	0.906976744186047	0.962962962962963	0.714285714285714	0.825396825396825	0.794117647058824	0.939393939393939	0.92	0.86	0.730769230769231	0.967741935483871	0.655172413793103	0.636363636363636	0.75	0.722222222222222	0.928571428571429	0	0.428571428571429	0.64	0.529411764705882	0.571428571428571	0.75	0.6	0.65	0.214285714285714	0	0.702702702702703	1	1	-1	3	9	3	9
130112	0.233009708737864	0.511627906976744	0.814814814814815	0.571428571428571	0.301587301587302	0.602941176470588	0.363636363636364	0.44	0.46	0.269230769230769	0.548387096774194	0.448275862068966	0.318181818181818	0.666666666666667	0.611111111111111	0.571428571428571	0	0.0476190476190476	0.08	0.0588235294117647	0.428571428571429	0.0833333333333333	0.2	0	0	0	0.027027027027027	-1	-1	-1	1	1	-1	-1
130113	0.83495145631068	0.953488372093023	1	0.785714285714286	0.746031746031746	0.911764705882353	0.848484848484848	0.84	0.86	0.538461538461538	0.774193548387097	0.620689655172414	0.590909090909091	0.916666666666667	0.833333333333333	0.785714285714286	0.5	0.380952380952381	0.48	0.235294117647059	0.571428571428571	0.583333333333333	0.4	0.35	0.142857142857143	0.032258064516129	0.675675675675676	-1	1	1	1	1	-1	-1
130114	0.757281553398058	0.930232558139535	0.888888888888889	0.785714285714286	0.603174603174603	0.676470588235294	0.757575757575758	0.88	0.8	0.576923076923077	0.870967741935484	0.551724137931035	0.772727272727273	0.916666666666667	0.777777777777778	0.785714285714286	0	0.0952380952380952	0.4	0.470588235294118	0.142857142857143	0.333333333333333	0.6	0.1	0	0	0.135135135135135	1	1	1	0	0	0	0
130115	0.0388349514563107	0.0930232558139535	0.111111111111111	0.0357142857142857	0.126984126984127	0.117647058823529	0	0.2	0.08	0.115384615384615	0.0967741935483871	0.137931034482759	0.0454545454545455	0.666666666666667	0.166666666666667	0.0714285714285714	0	0	0.2	0.0588235294117647	0	0	0.2	0	0	0	0	-1	1	1	0	0	0	0
130116	0.669902912621359	0.86046511627907	0.888888888888889	0.928571428571429	0.555555555555556	0.735294117647059	0.818181818181818	0.68	0.7	0.538461538461538	0.645161290322581	0.551724137931035	0.5	0.75	0.777777777777778	0.857142857142857	0.166666666666667	0.428571428571429	0.44	0.529411764705882	0.857142857142857	0.333333333333333	0.4	0.45	0.0714285714285714	0.129032258064516	0.72972972972973	-1	-1	1	-1	1	1	-1
130117	0.504854368932039	0.441860465116279	0.740740740740741	0.607142857142857	0.492063492063492	0.529411764705882	0.393939393939394	0.56	0.54	0.307692307692308	0.516129032258065	0.448275862068966	0.272727272727273	0.75	0.5	0.5	0	0.19047619047619	0.24	0.0588235294117647	0.142857142857143	0.0833333333333333	0.4	0.15	0.0714285714285714	0.0645161290322581	0.027027027027027	-1	-1	-1	-1	1	1	-1
130118	0.203883495145631	0.348837209302326	0.666666666666667	0.321428571428571	0.206349206349206	0.470588235294118	0.121212121212121	0.6	0.32	0.153846153846154	0.225806451612903	0.379310344827586	0.318181818181818	1	0.277777777777778	0.357142857142857	0	0	0.08	0	0	0	0.4	0.05	0	0	0.0540540540540541	-1	-1	1	-1	1	1	-1
130119	0.776699029126214	0.767441860465116	0.777777777777778	0.607142857142857	0.650793650793651	0.691176470588235	0.575757575757576	0.92	0.54	0.461538461538462	0.645161290322581	0.448275862068966	0.409090909090909	1	0.555555555555556	0.571428571428571	0.166666666666667	0.857142857142857	0.4	0.588235294117647	0.571428571428571	0.416666666666667	1	0.85	0.142857142857143	0.0967741935483871	0.486486486486487	-1	-1	1	-1	1	1	-1
130120	0.980582524271845	1	1	1	1	0.926470588235294	1	1	0.98	1	1	0.96551724137931	0.909090909090909	1	1	1	1	1	0.96	1	1	1	1	1	0.142857142857143	0.0967741935483871	0.810810810810811	-1	1	1	0	0	0	0
130121	0.281553398058252	0.627906976744186	0.592592592592593	0.535714285714286	0.301587301587302	0.426470588235294	0.363636363636364	0.72	0.42	0.115384615384615	0.354838709677419	0.586206896551724	0.272727272727273	0.666666666666667	0.611111111111111	0.5	0.166666666666667	0.142857142857143	0.08	0.0588235294117647	0.285714285714286	0.0833333333333333	0	0.1	0	0.0645161290322581	0.297297297297297	-1	1	1	-1	1	1	-1
130122	0.514563106796117	0.581395348837209	0.851851851851852	0.642857142857143	0.555555555555556	0.794117647058824	0.606060606060606	0.92	0.48	0.384615384615385	0.483870967741936	0.482758620689655	0.409090909090909	1	0.666666666666667	0.5	0.333333333333333	0.380952380952381	0.4	0.529411764705882	0.285714285714286	0.5	0.4	0.5	0	0.0967741935483871	0.594594594594595	-1	-1	1	-2	4	2	-4
130123	0.786407766990291	0.906976744186047	0.888888888888889	0.678571428571429	0.650793650793651	0.676470588235294	0.515151515151515	0.8	0.6	0.461538461538462	0.612903225806452	0.758620689655172	0.636363636363636	0.833333333333333	0.611111111111111	0.857142857142857	0.166666666666667	0.476190476190476	0.6	0.411764705882353	0.285714285714286	0.166666666666667	0.4	0.15	0.0714285714285714	0.032258064516129	0.567567567567568	1	1	1	0	0	0	0
130124	0.815533980582524	0.883720930232558	0.962962962962963	0.785714285714286	0.793650793650794	0.867647058823529	0.757575757575758	0.96	0.84	0.653846153846154	0.741935483870968	0.793103448275862	0.636363636363636	1	0.888888888888889	0.928571428571429	0.666666666666667	0.333333333333333	0.44	0.588235294117647	0.714285714285714	0.5	0.4	0.35	0.285714285714286	0	0.540540540540541	1	-1	1	-1	1	-1	1
130125	0	0.186046511627907	0	0.0357142857142857	0.0634920634920635	0.0441176470588235	0	0.08	0	0.0769230769230769	0.0967741935483871	0.206896551724138	0.0454545454545455	0.5	0.111111111111111	0.285714285714286	0	0	0	0	0	0	0	0	0	0	0	-1	1	1	-2	4	2	-4
130126	0.747572815533981	0.883720930232558	0.888888888888889	0.75	0.761904761904762	0.941176470588235	0.757575757575758	0.92	0.76	0.461538461538462	0.741935483870968	0.655172413793103	0.5	1	0.833333333333333	0.857142857142857	0	0.19047619047619	0.44	0.294117647058824	0.285714285714286	0.75	0.4	0.3	0.428571428571429	0.161290322580645	0.351351351351351	-1	1	-1	-2	4	2	-4
130127	0.893203883495146	0.813953488372093	0.888888888888889	0.964285714285714	0.746031746031746	1	0.909090909090909	0.96	1	0.807692307692308	1	0.793103448275862	0.681818181818182	1	1	0.928571428571429	0.5	0.619047619047619	0.48	0.588235294117647	0.428571428571429	1	0.4	1	0	0	0.297297297297297	-1	1	-1	-2	4	2	-4
130128	0.0679611650485437	0.0465116279069768	0.111111111111111	0.0714285714285714	0.0634920634920635	0.0588235294117647	0.0303030303030303	0.88	0.06	0.0769230769230769	0	0.310344827586207	0	0.25	0.0555555555555556	0.142857142857143	0	0	0	0.0588235294117647	0.285714285714286	0	0	0.1	0	0	0.0810810810810811	-1	-1	-1	-2	4	2	-4
130129	0.135922330097087	0.604651162790698	0.666666666666667	0.25	0.206349206349206	0.367647058823529	0.181818181818182	0.52	0.48	0.0384615384615385	0.612903225806452	0.275862068965517	0.227272727272727	0.833333333333333	0.444444444444444	0.714285714285714	0	0	0.08	0	0.142857142857143	0	0.2	0.05	0	0	0.0540540540540541	1	1	1	-2	4	-2	4
130130	0.388349514563107	0.325581395348837	0.518518518518519	0.321428571428571	0.238095238095238	0.529411764705882	0.454545454545455	0.64	0.42	0.307692307692308	0.225806451612903	0.482758620689655	0.181818181818182	0.333333333333333	0.555555555555556	0.357142857142857	0.166666666666667	0.285714285714286	0.32	0.235294117647059	0.428571428571429	0.0833333333333333	0.4	0.45	0.0714285714285714	0	0.378378378378378	-1	1	1	-2	4	2	-4
130131	0.446601941747573	0.674418604651163	0.777777777777778	0.5	0.126984126984127	0.411764705882353	0.696969696969697	0.76	0.68	0.307692307692308	0.548387096774194	0.448275862068966	0.318181818181818	0.5	0.666666666666667	0.928571428571429	0.333333333333333	0.285714285714286	0.24	0.235294117647059	0.142857142857143	0	0.4	0.2	0	0	0.189189189189189	1	1	-1	-1	1	-1	1
130132	0.262135922330097	0.604651162790698	0.666666666666667	0.428571428571429	0.206349206349206	0.411764705882353	0.212121212121212	0.4	0.48	0.230769230769231	0.483870967741936	0.379310344827586	0.272727272727273	0.75	0.555555555555556	0.571428571428571	0	0	0.08	0.176470588235294	0.428571428571429	0	0.2	0	0	0	0.0540540540540541	-1	-1	1	-2	4	2	-4
130133	0.689320388349515	0.767441860465116	0.777777777777778	0.714285714285714	0.80952380952381	0.691176470588235	0.545454545454545	1	0.7	0.346153846153846	0.612903225806452	0.758620689655172	0.5	0.666666666666667	0.833333333333333	0.642857142857143	0.166666666666667	0.380952380952381	0.32	0.176470588235294	0.571428571428571	0.333333333333333	0.2	0.1	0.142857142857143	0	0.324324324324324	1	-1	1	-1	1	-1	1
130134	0.436893203883495	0.465116279069768	0.666666666666667	0.5	0.285714285714286	0.5	0.515151515151515	0.8	0.54	0.384615384615385	0.258064516129032	0.517241379310345	0.409090909090909	0.833333333333333	0.666666666666667	0.5	0.333333333333333	0.285714285714286	0.36	0.352941176470588	0.428571428571429	0.5	0.4	0.3	0.142857142857143	0	0.243243243243243	-1	1	-1	-2	4	2	-4
130135	0.388349514563107	0.418604651162791	0.62962962962963	0.535714285714286	0.349206349206349	0.514705882352941	0.484848484848485	0.48	0.5	0.307692307692308	0.387096774193548	0.482758620689655	0.227272727272727	0.75	0.666666666666667	0.714285714285714	0	0.0476190476190476	0.28	0.352941176470588	0	0.166666666666667	0.4	0.15	0.214285714285714	0	0.27027027027027	1	1	1	-2	4	-2	4
130136	0.41747572815534	0.930232558139535	0.851851851851852	0.857142857142857	0.476190476190476	0.779411764705882	0.575757575757576	0.8	0.66	0.423076923076923	0.709677419354839	0.413793103448276	0.545454545454545	0.833333333333333	0.833333333333333	0.785714285714286	0.166666666666667	0.0952380952380952	0.32	0.294117647058824	0.285714285714286	0.5	0.6	0.1	0.0714285714285714	0	0.162162162162162	-1	-1	-1	-2	4	2	-4
130137	0.0485436893203884	0.0930232558139535	0.222222222222222	0.0714285714285714	0.0952380952380952	0.147058823529412	0.121212121212121	0.32	0.1	0.192307692307692	0.0645161290322581	0.206896551724138	0.0909090909090909	0.5	0.0555555555555556	0.214285714285714	0	0	0.16	0.0588235294117647	0	0	0	0	0	0	0	-1	1	1	-2	4	2	-4
130138	0.553398058252427	0.651162790697675	0.925925925925926	0.678571428571429	0.396825396825397	0.588235294117647	0.636363636363636	0.76	0.64	0.5	0.451612903225806	0.482758620689655	0.318181818181818	1	0.833333333333333	0.785714285714286	0.5	0.333333333333333	0.28	0.411764705882353	0.428571428571429	0.333333333333333	0.2	0.2	0	0.032258064516129	0.675675675675676	-1	-1	-1	4	16	-4	-16
130139	0.058252427184466	0.255813953488372	0.333333333333333	0.107142857142857	0.0634920634920635	0.191176470588235	0.0606060606060606	0.32	0.16	0	0.161290322580645	0.241379310344828	0.0909090909090909	0.833333333333333	0.222222222222222	0.214285714285714	0	0	0.16	0	0	0	0.6	0	0	0	0	-1	1	-1	-4	16	4	-16
130140	0.058252427184466	0.488372093023256	0.407407407407407	0.357142857142857	0.126984126984127	0.220588235294118	0.151515151515152	0.2	0.26	0.230769230769231	0.225806451612903	0.241379310344828	0.136363636363636	0.666666666666667	0.388888888888889	0.428571428571429	0	0	0	0.0588235294117647	0	0	0.2	0	0	0	0	1	1	-1	-5	25	-5	25
130141	0.135922330097087	0.302325581395349	0.444444444444444	0.178571428571429	0.222222222222222	0.323529411764706	0.272727272727273	0.56	0.32	0.115384615384615	0.32258064516129	0.413793103448276	0.181818181818182	0.583333333333333	0.388888888888889	0.214285714285714	0.166666666666667	0	0.08	0.0588235294117647	0.142857142857143	0	0.2	0	0	0	0.108108108108108	-1	1	1	-5	25	5	-25
130142	0.087378640776699	0.302325581395349	0.814814814814815	0.285714285714286	0.0634920634920635	0.191176470588235	0.0909090909090909	0.48	0.3	0.0384615384615385	0.258064516129032	0.241379310344828	0.181818181818182	0.5	0.388888888888889	0.214285714285714	0	0	0	0.0588235294117647	0	0	0.4	0	0	0	0	-1	1	1	-5	25	5	-25
130143	0	0.0232558139534884	0.222222222222222	0	0.0317460317460317	0.0588235294117647	0.0606060606060606	0.08	0.1	0	0.0645161290322581	0.0689655172413793	0.0454545454545455	0.25	0.166666666666667	0.285714285714286	0.166666666666667	0.0476190476190476	0.04	0	0.285714285714286	0	0.2	0	0	0	0	1	1	1	-5	25	-5	25
